hr_name|hr_bookID
John Wilcockson/Graham   Watson|2267
David McCullough|2279
Truman Capote/Reynolds Price|2281
Truman Capote|2282
Margaret Truman|2283
Margaret Truman|2285
Truman Capote|2287
Truman Capote/Scott Brick|2289
Steven Johnson|2296
Temple Grandin/Margaret M. Scariano|2299
Iris Fry|2304
Edith Wharton/Laszlo Kubinyi|2305
Edith Wharton/R.W.B. Lewis|2306
Edith Wharton/Maureen Howard|2307
Edith Wharton/Cynthia Griffin Wolff|2309
Edith Wharton|2314
Zilpha Keatley Snyder/Alton Raible|2315
Zilpha Keatley Snyder|2319
Douglas Adams/John Lloyd|2322
Douglas Adams|2326
J.R.R. Tolkien/Humphrey Carpenter/Christopher Tolkien|2327
J.R.R. Tolkien/Christopher Tolkien|2329
Ruth S. Noel/J.R.R. Tolkien|2330
J.R.R. Tolkien|2331
J.R.R. Tolkien/Christina Scull/Wayne G. Hammond|2333
Bryce Courtenay|2336
Bryce Courtenay|2338
Bryce Courtenay|2343
E.V. Gordon/A.R. Taylor|2348
Sarah M.  Anderson/Karen Swenson|2353
David McCullough|2367
David McCullough|2368
David McCullough|2370
David McCullough|2371
David McCullough|2372
Jeffery Deaver|2373
Paul Yee|2375
Jeffery Deaver|2378
Herman Melville/William Hootkins|2386
Jan Needle/Patrick Benson/Herman Melville|2388
Herman Melville/William Hootkins|2389
Herman Melville/Carl F. Hovde|2390
Michael J. Davey/Duncan Wu|2400
Geraldine McCaughrean/Victor G. Ambrus/Herman Melville|2404
Edward F. Edinger|2407
Geraldine McCaughrean/Victor G. Ambrus/Herman Melville|2409
Julian Markels|2411
Elizabeth A. Schultz|2412
Steve Martini|2423
Steve Martini|2430
Terry Pratchett|2442
Mark Twain/Grover Gardner|2443
Susan  Griffith|2445
Theocritus/Kenneth James Dover|2452
Hesiod/Glenn W. Most|2473
Wole Soyinka/Simon Gikandi|2486
H.G. Wells/Patrick Parrinder/Steven McLean/Marina Warner|2494
H.G. Wells/Cynthia Brantley Johnson/Benjamin Beard|2495
Joseph McMoneagle|2499
H.G. Wells/Melvin Burgess|2501
H.G. Wells/John R. Hammond|2504
H.G. Wells/Ursula K. Le Guin|2506
H.G. Wells/Edward Mendelson/Patrick Parrinder|2508
Umberto Eco|2519
Henri J.M. Nouwen|2520
Timothy B. Tyson|2521
José Saramago/Giovanni Pontiero|2526
José Saramago/Giovanni Pontiero|2527
José Saramago/Margaret Jull Costa|2528
José Saramago/Peter Sís/Margaret Jull Costa|2529
José Saramago/Giovanni Pontiero|2530
José Saramago/Margaret Jull Costa|2531
José Saramago/Giovanni Pontiero|2535
José Saramago/Giovanni Pontiero|2536
José Saramago/Pilar del Río|2538
José Saramago/Pilar del Río|2539
José Saramago/Pilar del Río|2541
José Saramago/Giovanni Pontiero|2542
José Saramago/Pilar del Río|2543
Kahlil Gibran|2545
Kahlil Gibran/جبران خليل جبران/Jihad El|2547
