a_authors|a_authrating
Robert E. Hemenway/Alice Walker|4.1
Robert E. Howard/Gary Gianni/Patrice Louinet|4.3
Robert E. Howard/Gregory Manchess/Patrice Louinet|4.33
Robert Egan/Kurt Vonnegut Jr.|4.0
Robert F. Kennedy Jr.|4.08
Robert Ferrigno|3.76
Robert Frost|4.28
Robert Frost/Edward Connery Lathem|4.25
Robert Frost/Noel Perrin|4.15
Robert Frost/Richard Poirier/Mark   Richardson|4.32
Robert Frost/Susan Jeffers|4.4
Robert Fulghum|4.03
Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher|4.13
Robert Goddard|3.71
Robert Graves|4.04
Robert Greene/Birgit Brandau/Hartmut Schickert|4.18
Robert Greene/Joost Elffers|4.24
Robert Hellenga|3.55666666666667
Robert Hutchinson|4.14
Robert Irwin|3.78
Robert J. Allison|3.62
Robert J. Milch|4.2
Robert J. Ray/Bret Norris|3.67
Robert Jordan|4.08285714285714
Robert Jordan/Charles Keegan|4.27
Robert Kanigher/Bob Haney/Joe Kubert/Jerry Grandinetti|4.2
Robert Kanigher/Joe Kubert/Russ Heath/Mark Chiarello/Jerry Grandinetti/Irv Novack|4.47
Robert Kirkman/Ben Oliver/Tom Raney|3.7
Robert Kirkman/Charlie Adlard/Cliff Rathburn|4.295
Robert Kirkman/Tony Moore/Charlie Adlard/Cliff Rathburn|4.35
Robert L. Geneve|3.83
Robert L. O'Connell|4.29
Robert L. O'Connell/John    Batchelor|3.75
Robert L. Wolke/Marlene Parrish|3.86
Robert Louis Stevenson|3.83
Robert Louis Stevenson/Barry Menikoff|4.13
Robert Louis Stevenson/Charles Neider|4.21
Robert Louis Stevenson/Diana Castellanos/Eleonora Garcia Larralde|3.74
Robert Louis Stevenson/Jenny Davidson|4.01
Robert Louis Stevenson/Milo Winter|3.83
Robert Louis Stevenson/N.C. Wyeth/Timothy Meis|3.83
Robert Louis Stevenson/Scott McKowen|3.83
Robert Louis Stevenson/Tasha Tudor|4.3
Robert Ludlum|3.86111111111111
Robert Ludlum/Michael  Shepherd|3.64
Robert M. Pirsig|3.77333333333333
Robert M. Pirsig/Dan Glover|3.58
Robert M. Price/Edward Pickman Derby/Peter Cannon/Stephen Mark Rainey/Lin Carter/Henry Kuttner/Ramsey Campbell/Thomas Ligotti/Richard L. Tierney/Gary    Myers/Donald R. Burleson/C.J. Henderson/Stephen Studach/John Glasby/Allen Mackey|3.75
Robert M. Sapolsky|4.21
Robert Mason|4.09
Robert McCloskey|4.0975
Robert McCloskey/Leonard S. Marcus|4.46
Robert Munsch/Michael Martchenko/Saoussan Askar|4.0
Robert Musil/Shaun Whiteside/J.M. Coetzee|3.73
Robert Nye|3.685
Robert P. Miles/Tom Osborne|4.07
Robert Paul Wolff/René Descartes/David Hume/Immanuel Kant/John Stuart Mill/William  James/Plato/Aristotle/Anselm of Canterbury/Thomas Aquinas/Various|3.74
Robert Penn Warren|4.09
Robert Penn Warren/James A. Perkins/James A. Grimshaw|4.0
Robert Penn Warren/James H. Justus/Xavier Pàmies|3.73
Robert Penn Warren/John Burt/Harold Bloom|4.37
Robert Polito/Jim Thompson/Patricia Highsmith/Charles Willeford/David Goodis/Chester Himes|4.37
Robert R. McCammon|4.061
Robert Robinson/Jonathan Slevin|4.33
Robert Sabuda/Lewis Carroll|4.33
Robert Scoble/Shel  Israel|3.72
Robert Sedgewick|4.16
Robert Shapard/James Thomas|3.8
Robert Silverberg/Stephen King/Robert Jordan/Terry Goodkind/Anne McCaffrey/Orson Scott Card/Tad Williams/George R.R. Martin/Raymond E. Feist/Terry Pratchett/Ursula K. Le Guin|3.92
Robert Silverberg/Terry Goodkind/George R.R. Martin/Anne McCaffrey|3.88
Robert Sokolowski|3.98
Robert Stock|3.12
Robert Templer|3.49
Robert Todd Carroll|4.02
Robert W. Harris|3.21
Robert W. Strayer|3.44
Robert X. Cringely|4.01
Roberta Gellis|3.87
Roberta Grobel Intrater|3.69
Roberts Liardon|4.45
Robertson Davies/Wayne Johnston|4.09
Robin  Davis/Frankie Frankeny|3.93
Robin Chapman Stacey|3.64
Robin Cook|3.75
Robin Hobb|4.066
Robin Landa|4.04
Robin Lane  Fox/Vita Sackville-West/Freda Titford/Ken Kirkwood|4.19
Robin Lane Fox|3.91
Robin Maxwell|3.8
Robin McGraw|3.62
Robin McKinley|3.95636363636364
Robin McKinley/James P. Blaylock/Patricia A. McKillip/Robert Westall/Peter Dickinson/Jane Yolen/P.C. Hodgell/Michael de Larrabetti/Joan D. Vinge|3.59
Robin McKinley/John Clapp|3.36
Robin Norwood|4.02
Robin P. Williams/John Tollett|3.66
Robin P. Williams/John Tollett/Dave Rohr|3.8
Robin S. Sharma|3.83
Robin Wasserman|3.955
Robin Waterfield/Anaximander/Anaximenes/Empedocles/Gorgias of Leontini/Heraclitus/Parmenides/Protagoras/Pythagoras/Thales/Thrasymachus/Zeno of Elea|3.95
Robin Waterfield/John Grisham|4.01
Roddy Doyle|3.78285714285714
Roddy Doyle/Brian Ajhar|4.145
Roddy Doyle/Frank McCourt/Conor McPherson/Gene Kerrigan/Gina Moxley/Marian Keyes/Pauline McLynn/Tom Humphries/Joseph O'Connor/Anthony Cronin/Owen O'Neill/Hugo Hamilton/Charlie O'Neill/Gerard Stembridge/Donal O'Kelly|3.4
Roddy Doyle/Renate Orth-Guttmann|3.94
Roderick Townley|3.9
Rodman Philbrick|4.01
Rodney Stark|4.04
Roff Smith|3.8
Roger Ebert/Daniel Curley/Jack Lane|4.26
Roger Ebert/David Bordwell|4.2
Roger Ebert/Ray Ebert|3.87
Roger Hargreaves|3.91
Roger Hargreaves/Adam Hargreaves|3.83
Roger Hargreaves/Gray Jolliffe|4.3625
Roger Lancelyn Green/Alan Langford|4.0
Roger Lowenstein|4.19
Roger Penrose|4.11
Roger Scruton|3.8
Roger Shattuck|3.92
Roger Zelazny|3.82
Roger Zelazny/Scott Zrubeck/Steven Brust|3.95
Rohinton Mistry|4.10666666666667
Rohinton Mistry/Françoise Adelstain|4.36
Roland Barthes/Annette Lavers/Colin Smith/Susan Sontag|3.88
Roland Barthes/Matthew    Ward/Richard Howard|3.54
Roland Barthes/Richard Howard|3.96
Roland Barthes/Richard Miller|4.02
Roland Barthes/Stephen Heath|4.1
Roland H. Bainton|4.08
Rolland Baker/Heidi Baker|4.46
Rolland Hein/Clyde S. Kilby|3.93
Roméo Dallaire|4.24
Ron     Miller/Jules Verne/Paul   Wright|3.76
Ron  Louis/David Copeland|3.76
Ron Chernow|4.16666666666667
Ron Marz/Jeremy Barlow/Brandon Badeaux|3.51
Ron Rash|4.0175
Ron Roy/John Steven Gurney|4.08
Rona Sharon|3.9
Ronald B. Flowers|3.59
Ronald Hayman|3.67
Ronald J. Faust/Roy F. Cucchiara/Denise J. Wedel/C. Thomas Wass/Stephen H. Rose/Thomas N. Spackman|3.67
Ronald L. DiSanto/Thomas J. Steele|3.72
Ronald Takaki|4.13
Ronda Thompson|3.91
Ronlyn Domingue|3.83
Rosa Montero|3.78
Rosalind Laker|3.94
Rosalind M. Greenberg|3.38
Rosalind Miles|3.64
Rosamunde Pilcher|4.15
Rose A. Zimbardo/Neil D. Isaacs|4.02
Rose Tremain|3.95
Rose Wilder Lane|3.96
Rosemary Wells/Susan Jeffers/Rachel Field|4.0
Rosetta James|3.9
Rosie Daley/Oprah Winfrey|3.04
Rosita Arvigo/Nadine Epstein|4.13
Ross Garnaut|5.0
Ross Thomas|3.95
Rough Guides/Jan Dodd/Mark Lewis/Ron Emmons|3.89
Roy McKie/P.D. Eastman|4.15
Roy Mottahedeh|4.08
Rubem A. Alves|4.43
Ruby Ann Boxcar|4.1
Ruby K. Payne|3.9
Rudolfo Anaya|3.77
Rudolph R. Windsor/El Hagahn|4.31
Rudolph W. Giuliani|3.72
Rudyard Kipling|3.94
Rudyard Kipling/Alev Lytle Croutier|4.02
Rudyard Kipling/Charles R. Smith Jr.|4.39
Rudyard Kipling/Christopher Corr|4.09
Rudyard Kipling/Jeffrey Meyers|3.72
Rudyard Kipling/Pankaj Mishra|3.72
Rumer Godden|4.04333333333333
Rumer Godden/Christian Birmingham|4.01
Rumer Godden/Gary Blythe|4.27
Rumer Godden/Jean Primrose|4.22
Rumi/A.J. Arberry|4.28
Rumiko Takahashi|4.18666666666663
Rupa Bajwa|3.44
Russ Kick|3.87
Russell Banks|3.82
Russell Banks/Pierre Furlan|3.99
Russell Evans|3.46
Russell Hoban|4.01666666666667
Russell Hoban/Lillian Hoban|4.24
Russell Hoban/Quentin Blake|4.235
Russell Roberts/Russ Roberts|3.745
Russell Shorto|4.14
Rusty Young|4.26
Rusty Young/Thomas McFadden|4.26
Ruth  Abbey|3.6
Ruth Downie|3.73
Ruth Heller|4.12333333333333
Ruth Krauss/Mary Blair|4.24
Ruth Ozeki|3.96
Ruth Ozeki/Florence Mortimer|3.96
Ruth Prawer Jhabvala|3.55
Ruth Reichl|4.04
Ruth Rendell|3.64
Ruth S. Noel/J.R.R. Tolkien|3.98
Ruth Stiles Gannett|4.1
Ruth Westheimer|3.65
Ruud van der Rol/Rian Verhoeven/Anna Quindlen/Anne Frank/Tony   Langham/Plym Peters|4.27
Ryōkan/John   Stevens|4.58
Ryōtarō Shiba/Juliet Winters Carpenter|3.76
Ryū Murakami/Stephen Snyder|3.68
Ryūnosuke Akutagawa/Jay Rubin/Haruki Murakami/Yoshihiro Tatsumi|4.13
S.E. Hinton|3.895
S.E. Hinton/Jodi Picoult|4.09
S.M. Stirling|4.06
Sabine C. Bauer|3.79
Sakurako Gokurakuin/Lindsey Johnston|3.55
Sally Potter/Virginia Woolf|4.07
Sally Smith O'Rourke|3.37
Salman Rushdie|3.74222222222223
Salman Rushdie/Miguel Sáenz|3.98
Salman Rushdie/Paul Birkbeck|4.01
Salman Rushdie/Richard Maltby/Melvyn Bragg|4.0
Salvador Plascencia|4.09
Sam Bass Warner|0.0
Sam Harris|3.93
Sam Johnson/Sandy Antunes|4.12
Sam Kauffmann|3.83
Sam R. Watkins|4.13
Sam Shepard|3.91
Sam Shepard/Richard Gilman|4.18
Sam Walton/John Huey|4.15
Sam Weller|4.24
Samuel Beckett|4.055
Samuel Hynes|3.8
Samuel J. Leffler/Marshall Kirk McKusick/Michael J. Karels|4.26
Samuel Richardson/Sheila Ortiz Taylor|3.37
Samuel Taylor Coleridge/Stanley Appelbaum|3.94
Sandra Balzo|3.61
Sandra Benítez|3.62
Sandra Boynton|4.225
Sandra Brown|3.74206896551725
Sandra Brown/Delia Mateovich|3.98
Sandra Cisneros|3.85666666666667
Sandra Cisneros/Elena Poniatowska|3.63
Sandra Hack Polaski|3.96
Sandra Steffen|3.33
Sandra West Prowell|3.45
Sandy Petersen|3.9
Sandy Petersen/Lynn Willis|4.45
Sang-Sun Park|3.88
Sanyika Shakur|3.97
Sara Barton-Wood|5.0
Sara Gruen|4.09
Sara Zarr|3.66
Sarah   Kay|3.46
Sarah Ban Breathnach|4.08
Sarah Dening|4.19
Sarah Dessen|3.97
Sarah Dunant|3.81
Sarah Fielding/Candace Ward|2.63
Sarah Johnstone|3.91
Sarah Johnstone/Aaron Anderson/Sarah  Andrews/Lonely Planet|4.05
Sarah K. Herz/Donald R. Gallo|4.01
Sarah M.  Anderson/Karen Swenson|3.68
Sarah Macdonald|3.53
Sarah Mayberry|3.71
Sarah Miller|3.39
Sarah Mlynowski|3.79333333333333
Sarah Susanka/Kira Obolensky|4.07
Sarah Vowell/Katherine Streeter|3.88
Sarvepalli Radhakrishnan/Charles Alexander Moore/Kapila/Nandalal Sinha/Kautilya/R. Shamasastry/Manu/Georg Bühler/Patañjali/Rama Prasada/Nāgārjuna/Hermann Oldenberg/Susumu Yamaguchi/Ganganatha Jha/Ramanuja/George Thibaut/Pratap Chandra Ray/Edward J. Thomas|4.13
Satoru Kannagi/Hotaru Odagiri|3.99
Satoru Kannagi/Hotaru Odagiri/Allison Markin Powell|3.99
Satoru Kannagi/Hotaru Odagiri/Sachiko Sato|4.1
Satosumi Takaguchi|3.93333333333333
Satosumi Takaguchi/Satosumi Takaguchi|3.815
Satosumi Takaguchi/Yukine Honami|3.57
Satyajit Das|3.83
Saul A. Kripke|4.01
Saul Bellow|3.695
Saul Bellow/Christopher Hitchens|3.84
Saul Bellow/James  Wood|4.19
Saul Bellow/Philip Roth|3.78
Saul Bellow/Salman Rushdie|3.54
Saul Bellow/Stanley Crouch|3.76
Saul Leiter/Martin Harrison|4.73
Saul Steinberg/Joel Smith/Charles Simic|4.51
Saul Williams|4.22
Sayadaw U. Pandita/Kate Wheeler/Swami Vivekananda|4.22
Scott   Cunningham/Peter Kuper/Seth Tobocman/Sabrina Jones|3.85
Scott  Freeman|3.97
Scott Adams|4.01
Scott Allie/Ryan Benjamin/Curtis Arnold|3.82
Scott Beatty/Robert Greenberger/Phil Jimenez/Daniel  Wallace|4.29
Scott Donaldson|3.85
Scott Leonard/Megan McMorris|4.24
Scott MacMillan/Katherine Kurtz|3.52
Scott O'Dell|3.74
Scott O'Dell/Tantoo Cardinal|3.83
Scott Speck/Evelyn Cisneros|4.01
Scott Turow|3.75857142857143
Scott Turow/Lola Vollen/Dave Eggers|4.29
Scott Turow/Sarah Shankman/Jay Brandon/Jeremiah Healy/Ed Gorman/John Jakes/Maynard F. Thomson/Lia Matera/Susan Dunlap/Bill Pronzini/John Lutz/Andrew Klavan/Marcia Muller/Stuart M. Kaminsky/Carolyn Wheat/Stan Washburn/Valerie Frankel|3.76
Scott Westerfeld|3.75857142857143
Scott Wetzler|4.03
Seamus Deane|3.73
Seamus Heaney|4.102
Seamus Heaney/Margarita Ardanaz|4.09
Sean B. Carroll/Jamie W. Carroll/Leanne M. Olds|4.07
Sean McMullen|3.61
Sean O'Brien|2.67
Sean Smith|3.73
Sean Stewart|3.84
Sebastian Faulks|3.7325
Sei Shōnagon/Ivan Morris|4.02
Selina Shirley Hastings/Juan Wijngaard|3.91
Selma G. Lanes|4.43
Sena Jeter Naslund|4.03
Sergio Ramírez|3.69
Seth Godin/Malcolm Gladwell|3.98
Shana Abe|3.7175
Shannon Drake|3.78
Shannon Hengen|3.43
Shannon Holmes|4.03
Sharon Creech|3.92
Sharon Green|4.07
Sharon Kay Penman|4.27
Sharon Rose Wilson/Thomas B. Friedman/Shannon Eileen Hengen|3.75
Sharon Salzberg/Jon Kabat-Zinn|4.24
Sharyn McCrumb|3.8
Sharyn November/Francesca Lia Block/Diana Wynne Jones/Ellen Klages/Sharon Shinn/Patricia A. McKillip/Emma Bull/Kelly Link/Tamora Pierce/Nina Kiriki Hoffman/Alison Goodman/Charles de Lint/Kara Dalkey/Alan Dean Foster/Carol Emshwiller/Tanith Lee/Pamela Dean|3.92
Sharyn November/Lloyd Alexander/Emma Bull/Charles Vess/Michael Cadnum/Kara Dalkey/Nancy Farmer/Nina Kiriki Hoffman/Diana Wynne Jones/Patricia A. McKillip/Garth Nix/Meredith Ann Pierce/Delia Sherman/Sherwood Smith/Nancy Springer/Megan Whalen Turner/Elizabeth Wein/Laurel Winter|3.96
Shaun Tomson/Patrick Moser|3.82
Shauna Singh Baldwin|3.89
Shayla Black|3.96
Shayla Black/Shelley Bradley|3.73
Shel Silverstein|4.25875
Shel Silverstein/Daniela Gamba|4.37
Shel Silverstein/Dennis Locorriere|4.12
Shelby Foote|4.36
Shelley Klein/Charles Dickens|3.55
Sheri Lynch|3.71
Sheri Rose Shepherd|5.0
Sherman Alexie|3.98
Sherrilyn Kenyon/Jaid Black/Kresley Cole|4.13
Sherrilyn Kenyon/L.A. Banks/Susan Squires/Ronda Thompson|4.06
Sherry Gershon Gottlieb|4.5
Sherry Shahan|4.03
Sherwood Smith|4.19
Sheryl Feldman/Penny Armstrong|4.07
Shifra Horn/Dalya Bilu|3.69
Shirin Ebadi|4.14
Shirley Hazzard|3.89
Shirley Rousseau Murphy|4.22
Shiva Naipaul|3.89
Sholom Aleichem/Ben Shahn/Frances Butwin/Julius Butwin|4.26
Sholom Aleichem/Frances Butwin|4.17
Shūsaku Endō/Francis Mathy|3.79
Shūsaku Endō/Van C. Gessel|3.94
Shūsaku Endō/William Johnston|4.08
Sid Fleischman/Peter Sís|3.57
Sidney Sheldon|3.81
Siegfried Engelmann/Phyllis Haddox/Elaine Bruner|4.17
Sigmund Freud/James Strachey|3.78
Sigmund Freud/Louis Menand|3.78
Sigmund Freud/Philip Rieff|3.9
Sigrid Nunez|3.85
Sigrid Undset|4.275
Sigrid Undset/Arthur G. Chater|4.22
Sigrid Undset/Sherrill Harbison/Arthur G. Chater|4.18
Sigrid Undset/Tiina Nunnally|3.905
Sigrid Undset/Tiina Nunnally/Brad Leithauser|4.28
Sigrid Undset/Tiina Nunnally/Sherrill Harbison|4.22
Sigrid Undset/Tim Page/Tiina Nunnally/Naomi Walford|4.19
Silas House|4.05666666666667
Simon Anholt|3.69
Simon Cleveland|4.91
Simon Goldhill|3.814
Simon Perchik/David Baratier|4.25
Simon Schama|4.02333333333334
Simon Singh|4.27
Simon Wells|4.18
Simon Winchester|3.836
Simone Weil/Rachel Bespaloff/Mary McCarthy/Christopher E.G. Benfey/Hermann Broch|4.04
Simone de Beauvoir|4.1
Simone de Beauvoir/Bernard Frechtman|4.15
Simone de Beauvoir/H.M. Parshley|4.12
Simone de Beauvoir/H.M. Parshley/Margaret Crosland|4.12
Simone de Beauvoir/Leonard M. Friedman|4.14
Simone de Beauvoir/Nelson Algren/Sylvie Le Bon de Beauvoir/Vanessa Kling/Ellen Gordon Reeves|4.01
Simone de Beauvoir/Patrick O'Brian|3.88
Simón Bolívar/Frederick H. Fornoff/David Bushnell|3.84
Sinclair B. Ferguson|4.24
Sinclair Lewis|3.80666666666667
Sinclair Lewis/Brooke Allen|3.77
Sinclair Lewis/Charles R. Johnson|3.97
Sinclair Lewis/E.L. Doctorow|3.82
Sinclair Lewis/Michael R.  Meyer|3.77
Sinclair Lewis/Richard R. Lingeman|3.9
Slavoj Žižek|3.96333333333333
Slavoj Žižek/Glyn Daly|3.88
Slavoj Žižek/Marek Wieczorek|3.72
Snorri Sturluson/Jesse L. Byock|4.17
Solomon Jones|3.97
Sonallah Ibrahim/صنع الله إبراهيم/Anthony Calderbank|3.55
Sonny Brewer|3.93
Sophie Braimbridge/Erica Jankovich|2.62
Sophie Kinsella|3.7425
Sophocles/Bernard Knox/Cynthia Brantley Johnson|3.7
Sophocles/David Grene/Charles Segal|3.97
Sophocles/David Grene/Richmond Lattimore|4.14
Sophocles/David Grene/Richmond Lattimore/John Moore/Michael Jameson|4.14
Sophocles/E.F. Watling|4.14
Sophocles/Edith Hall/H.D.F. Kitto|3.94
Sophocles/George      Young|3.97
Sophocles/J.E. Thomas|3.7
Sophocles/Paul Roche|4.07
Sophocles/Peter Meineck/Paul Woodruff|3.97
Sophocles/Reginald Gibbons/Charles Segal|3.64
Sophocles/Robert Fagles/Bernard Knox|3.97
Sophocles/Robert Fitzgerald/Dudley Fitts|3.97
Sophocles/Roger D. Dawe|3.7
Sophocles/Ruby Blondell|3.97
Sophocles/Theodore F. Brunner/Luci Berkowitz|3.7
SparkNotes|3.43
SparkNotes/Brian  Phillips/William Shakespeare|3.91
SparkNotes/Homer|3.65
SparkNotes/Ken Kesey|4.13
SparkNotes/Mary Wollstonecraft Shelley|3.5
SparkNotes/William Shakespeare|3.96
Spencer Johnson|3.78
Spencer Johnson/Kenneth H. Blanchard|3.8
Spider Robinson|4.31
Stacey Szklut/Carol Stock Kranowitz/Lynn Balzer-Martin|4.11
Stacy Horn|3.58
Stacy Schiff/Antoine de Saint-Exupéry|4.02
Stan Berenstain/Jan Berenstain|3.87
Stan Hoig/Nick Eggenhofer|3.43
Stan Jones|3.77
Stan Lee/Roy Thomas/Tom DeFalco/Kurt Busiek/Steve Ditko/Jack Kirby/Herb Trimpe/Ross Andru|3.43
Stanislav Grof/Christina Grof|4.0
Stanisław Lem/Louis Iribarne|3.9
Stanisław Lem/Marc E. Heine|3.91
Stanisław Lem/Michael Kandel|4.13666666666667
Stanisław Lem/Michael Kandel/Daniel Mróz|4.18
Stanley Bing|3.28
Stanley Coren|3.99
Stanley Weintraub|3.6
Stanley Wiater/Christopher Golden/Hank Wagner|4.15
Starr Smith/Walter Cronkite|3.93
Stefan Fatsis|3.82
Stefano Benni/Antony Shugaar|3.71
Sten Nadolny|3.95
Stendhal/Burton Raffel/Diane Johnson|3.88
Stendhal/Gilbert Sale/Suzanne Sale/B.C.J.G. Knight/Jean Stewart|3.71
Stendhal/Richard Howard/Robert Andrew Parker|3.82
Stendhal/Robert M. Adams|3.88
Stendhal/Roger Pearson/Margaret Mauldon|3.82
Stephanie Barron|3.86
Stephanie Laurens|4.015
Stephanie McCurry|3.69
Stephanie Rowe|3.98
Stephanie Spinner|3.51
Stephen  Booth|4.11
Stephen  Mansfield|3.29
Stephen Biesty/Richard Platt|4.41
Stephen Briggs/Terry Pratchett|4.15
Stephen Clarke|3.54
Stephen Coonts|3.82
Stephen Cox/Butch Patrick/Yvonne DeCarlo|4.45
Stephen Crane/James Dickey|3.35
Stephen Crane/Jayne Anne Phillips|3.33
Stephen Crane/Larzer Ziff/Theo Davis|3.66
Stephen Crane/Shelby Foote|3.38
Stephen Desberg/Enrico Marini|3.84
Stephen E. Ambrose|4.205
Stephen E. Ambrose/Barrett Whitener|4.21
Stephen G. Kochan|3.96
Stephen Gaskin|3.89
Stephen Greenblatt|3.94
Stephen Hawking|4.146
Stephen Hawking/Gene  Stone|4.08
Stephen Hawking/Isaac Newton/Nicolaus Copernicus/Albert Einstein/Johannes Kepler/Galileo Galilei|4.2
Stephen Hawking/Kip S. Thorne/Igor Novikov/Timothy Ferris/Alan Lightman/Richard     Price|3.94
Stephen Hawking/Leonard Mlodinow|4.22
Stephen Hawking/Leonard Mlodinow/David Jou i Mirabent|4.22
Stephen Hawking/Roger Penrose|4.09
Stephen Hunter/Beau Bridges|4.22
Stephen Hunter/Jay O. Sanders|4.13
Stephen Hunter/Philip Bosco|4.01
Stephen Hunter/Will Patten|4.05
Stephen J. Burn|3.82
Stephen J. Cannell/Paul Michael/Michael Prichard|3.86
Stephen J. Cannell/Scott Brick|3.85
Stephen J. Rosen/Steven Pressfield|3.78
Stephen J. Sansweet/Peter Vilmur|4.5
Stephen Jay Gould|4.01
Stephen Jay Gould/Paul McGarr/Oliver Sacks/Steven Rose|4.25
Stephen King|3.97350000000004
Stephen King/Ana Juan/John Cullum/Becky Ann Baker/Íñigo Jáuregui/Peter Gerety/Arliss Howard|3.78
Stephen King/Bernie Wrightson|3.91
Stephen King/Bernie Wrightson/Michele Wrightson|4.07
Stephen King/Bettina Blanch Tyroller|3.76
Stephen King/Campbell Scott|4.22
Stephen King/David Palladini|3.93
Stephen King/David Purdham|3.77
Stephen King/Eduardo Goligorsky|4.11
Stephen King/Glenn Chadbourne|4.47
Stephen King/Gregorio Vlastelica|3.96
Stephen King/Gregorio Vlastelica/Eduardo Goligorsky|4.0
Stephen King/Jerry N. Uelsmann|4.25
Stephen King/Joachim Körber|4.34
Stephen King/John  Glover|3.97666666666667
Stephen King/Josh Hamilton|3.63
Stephen King/Marie Milpois|3.77
Stephen King/Marta I. Guastavino|4.02
Stephen King/María Eugenia Ciocchini Suárez|4.44
Stephen King/María Mir|4.16
Stephen King/Ned Dameron|4.24
Stephen King/Peter Straub|4.07
Stephen King/Peter Straub/Bernard Cohen|4.01
Stephen King/Peter Straub/Pilar Giralt Gorina|4.13
Stephen King/Richard Bachman|4.09
Stephen King/Robin Waterfield|4.25
Stephen King/Ron McLarty|3.86
Stephen King/Verónica Canales|4.24
Stephen King/William Olivier Desmond/Maria Teresa Marenco|3.63
Stephen King/ZBS Foundation|3.95
Stephen Kinzer|3.84
Stephen Leeb/Glen C. Strathy|3.4
Stephen Leigh|3.77
Stephen M. Pollan|3.29
Stephen M. Pollan/Mark LeVine|2.985
Stephen M.R. Covey|3.99
Stephen Manes|4.145
Stephen Manes/George Ulrich|3.68
Stephen Manes/Michael  Bass|4.0
Stephen Mark Rainey/H.P. Lovecraft/Ramsey Campbell/Edward P. Berglund/Fred Chappel/Caitlín R. Kiernan/Thomas F. Montelone/E.A. Lustig/Brian McNaughton/William R. Trotter|3.67
Stephen Miller|3.2
Stephen Minot|3.64
Stephen Mulhall|3.9
Stephen Mulhall/Adam Swift|4.0
Stephen Nachmanovitch|4.14
Stephen Oppenheimer|3.98
Stephen P. Maran|3.84
Stephen R. Covey|4.1
Stephen R. Covey/A. Roger Merrill/Rebecca R. Merrill|4.1
Stephen R. Covey/Jim Collins|4.1
Stephen R. Donaldson|4.03333333333333
Stephen R. Swinburne/Jim Brandenburg|4.06
Stephen Rebello|3.9
Stephen Rebello/Walt Disney Company|4.44
Stephen W. Frey|3.7725
Stephen Wright|3.58
Stephenie Meyer|3.59
Steve  Miller|4.06
Steve Allen|3.6
Steve Augarde|3.71
Steve Blamires/Sandy Leuthner|3.92
Steve Eddy|3.6
Steve Erickson|4.0
Steve Hamilton|3.96
Steve Kenson/Ramón Pérez|3.81
Steve Krug|4.25
Steve Martin|3.54666666666667
Steve Martini|3.94
Steve McConnell|4.29
Steve McCurry|4.55
Steve Moore/Lilly Wachowski/Lana Wachowski/Alan Moore|4.15
Steve Perry|3.945
Steve Perry/Larry Segriff/Tom Clancy/Steve Pieczenik|3.98
Steve Perry/Michael Reaves|3.78
Steve Perry/Tom Clancy/Steve Pieczenik|3.74
Steve Perry/Tom Clancy/Steve Pieczenik/Larry Segriff|3.86
Steve Turner|4.04333333333333
Steve Wozniak/Gina Smith|3.87
Steven C. Hayes/Spencer  Smith|4.05
Steven D. Levitt/Stephen J. Dubner|3.97
Steven F. Hayward|3.32
Steven Heller/Louise Fili|4.06
Steven Johnson|3.78666666666667
Steven L. Layne|3.73
Steven Nadler|4.1
Steven Pinker|4.055
Steven Pinker/Jacques A. Mehler|3.75
Steven Pressfield|4.01
Steven Pressfield/Robert McKee|4.0
Steven Watts|4.02
Steven Weisenburger|4.01
Stewart Brand|4.15666666666667
Stewart O'Nan/Stephen King|3.83
Stewart Shapiro|4.25
Stormie Omartian|4.4
Stuart Gilbert|4.17
Stuart J. Murphy/Holly Keller|3.51
Stuart M. Kaminsky|3.63
Stuart M. Matlins|3.95
Stuart McLean|4.4
Stuart Russell/Peter Norvig|4.17
Stuart Woods|3.865
Stéphane Heuet/Marcel Proust/Joe  Johnson|3.79
Stéphane Heuet/Stanislas Brézet/Marcel Proust|4.04
Sudha Koul/Warner Books|3.93
Sue Birtwistle/Sue Conklin/Susie Conklin|4.45
Sue Miller|3.69
Sue Monk Kidd|3.87666666666667
Sue William Silverman|4.11
Suetonius/Michael Grant/Robert Graves|4.05
Suketu Mehta|3.93
Suki Kim|3.56
Sun Tzu/Gerald A. Michaelson|3.8
Sun Tzu/Mark McNeilly|3.89
Sun Tzu/Ralph D. Sawyer|3.97
Sun Tzu/Roger T. Ames|3.97
Sun Tzu/Samuel B. Griffith|3.97
Sun Tzu/Thomas Cleary/Pulat Otkan/Giray Fidan|3.97
Surya  Das|4.19
Susan    Lewis|3.98
Susan    Oliver|3.44
Susan   Mallery|3.96
Susan  Griffith|3.57
Susan  Jeffers|4.03
Susan Au|3.74
Susan Carroll|3.87
Susan Conant|3.734
Susan Conant/Maxwell Award|3.78
Susan Cooper|4.13333333333333
Susan Cooper/Omar Rayyan|3.75
Susan Donovan|3.81
Susan Forward/Joan Torres|4.09
Susan Hill|3.9025
Susan Hill/John Lawrence|3.71
Susan Howatch|3.98
Susan Kandel|3.47
Susan Minot|3.52
Susan Nanus/Norton Juster|4.13
Susan Oliver/Harry   Bates|3.67
Susan Ring/Anna Okabe|4.29
Susan Ring/Kelly Preston/Katie Nix|3.7
Susan Ring/Kirk Albert Etienne|4.42
